customer_id,Total_Spending_2022_2023,Average_Daily_Spending_2022_2023,Actual_Lifetime_2022_2023(days),Total_Spending_2023_2024,Average_Daily_Spending_2023_2024,Actual_Lifetime_2023_2024(days),LTV_2022_2023($),LTV_2023_2024($)
6,,,,23.3,23.3,1.0,,2519.8901525658807
8,99.2,0.3024390243902439,328.0,42.6,0.19631336405529953,217.0,33.81508030933968,21.231249480687985
9,3795.6,10.602234636871508,358.0,2574.3,7.052876712328768,365.0,1185.4138745060634,762.7671491269737
10,157.7,0.4665680473372781,338.0,4.2,4.2,1.0,52.16600609756097,454.2291262135923
12,150.4,0.4585365853658537,328.0,380.9,2.1519774011299435,177.0,51.268024985127894,232.7359082253932
13,162.8,0.46118980169971674,353.0,29.3,29.3,1.0,51.56467560284668,3168.788904299584
14,381.0,1.4431818181818181,264.0,62.7,0.24588235294117647,255.0,161.35916712860308,26.59212531614588
16,420.0,1.16991643454039,359.0,354.1,0.9701369863013699,365.0,130.80593110945037,104.92011323694261
20,396.5,1.1232294617563738,353.0,632.1,1.760724233983287,359.0,125.58595747253504,190.42195959650596
21,,,,31.2,2.08,15.0,,224.9515672676838
26,5.9,5.9,1.0,,,,659.666768292683,
29,120.2,0.42027972027972027,286.0,,,,46.990604212860305,
32,717.1,2.0086834733893557,357.0,785.4,2.175623268698061,361.0,224.58673481587755,235.29320388349515
33,18.8,18.8,1.0,4.3,4.3,1.0,2101.9890243902437,465.04410540915393
37,41.0,0.422680412371134,97.0,,,,47.2590206185567,
40,238.60000000000002,0.725227963525836,329.0,219.5,0.6131284916201117,358.0,81.08623508043591,66.30971881077647
42,44.7,0.30202702702702705,148.0,12.1,12.1,1.0,33.769015738299274,1308.6124826629682
48,466.90000000000003,1.289779005524862,362.0,682.3,1.8952777777777776,360.0,144.20751667565017,204.97389736477115
49,982.6,2.7446927374301677,358.0,1253.9,3.522191011235955,356.0,306.8784047554163,380.92422509311353
55,28.9,0.10176056338028168,284.0,,,,11.377637624527651,
57,,,,16.8,16.8,1.0,,1816.9165048543691
65,26.6,0.12488262910798123,213.0,,,,13.962867857551815,
66,4.9,4.9,1.0,,,,547.8588414634146,
67,174.4,0.7176954732510288,243.0,275.4,1.097211155378486,251.0,80.2440429589481,118.66315818556565
68,,,,33.9,0.20925925925925926,162.0,,22.631345353675453
69,2389.8,6.583471074380165,363.0,1950.1,5.416944444444444,360.0,736.0842521669018,585.841414701803
72,8.8,8.8,1.0,,,,983.909756097561,
74,7.6,7.6,1.0,,,,849.7402439024389,
77,2476.1,6.840055248618785,362.0,3358.1,9.64971264367816,348.0,764.7723967457215,1043.614414845282
79,179.0,0.6911196911196911,259.0,38.6,0.5594202898550725,69.0,77.27265985497692,60.501187963577166
81,,,,15.2,0.11428571428571428,133.0,,12.359976223499109
82,30.5,0.11466165413533834,266.0,25.5,1.108695652173913,23.0,12.820081835686777,119.90520412470603
83,332.8,1.0947368421052632,304.0,286.0,0.8666666666666667,330.0,122.4002567394095,93.72981969486824
84,5.0,5.0,1.0,,,,559.0396341463414,
88,289.2,1.7214285714285713,168.0,,,,192.46935975609753,
89,335.0,0.9654178674351584,347.0,253.0,0.71671388101983,353.0,107.94137028185843,77.51245712399759
92,579.5,2.772727272727273,209.0,,,,310.0128880266075,
95,183.1,3.662,50.0,1218.3999999999999,3.3380821917808214,365.0,409.44062804878047,361.0128945718465
97,44.1,0.7229508196721312,61.0,,,,80.83163234706117,
99,5.2,5.2,1.0,10.3,10.3,1.0,581.4012195121951,1113.9428571428573
100,440.2,1.2759420289855072,345.0,829.5,2.3170391061452515,358.0,142.66043301519971,250.5872972826382
101,568.6,1.7441717791411044,326.0,415.9,1.1520775623268698,361.0,195.01223065988327,124.59694868238557
103,44.0,0.24858757062146894,177.0,74.39999999999999,0.48311688311688306,154.0,27.79406090671076,52.24899039933714
105,19.7,0.12236024844720496,161.0,5.8,5.8,1.0,13.68084570519618,627.2687933425798
106,,,,10.4,0.2810810810810811,37.0,,30.39886044157889
107,65.2,0.27053941908713697,241.0,89.8,0.3023569023569023,297.0,30.24845157372736,32.69983608624385
112,84.3,0.2450581395348837,344.0,,,,27.399442534032893,
114,363.5,1.01536312849162,358.0,213.6,0.9368421052631579,228.0,113.52564637552798,101.31927877947297
119,5.0,5.0,1.0,70.9,5.908333333333334,12.0,559.0396341463414,638.9850208044384
123,27.0,27.0,1.0,,,,3018.8140243902435,
124,12.4,12.4,1.0,,,,1386.4182926829267,
126,8.8,8.8,1.0,,,,983.909756097561,
127,374.5,1.318661971830986,284.0,440.5,2.502840909090909,176.0,147.43686125901752,270.6817236161897
128,1392.2,3.9777142857142858,350.0,807.3000000000001,2.2740845070422537,355.0,444.739987804878,245.94176632611206
130,67.2,0.4307692307692308,156.0,,,,48.16341463414634,
136,61.3,1.226,50.0,29.1,1.0777777777777777,27.0,137.07651829268292,116.5614424410541
137,33.5,0.881578947368421,38.0,24.7,24.7,1.0,98.56751444159177,2671.299861303745
140,258.2,2.689583333333333,96.0,,,,300.7167365345528,
141,940.8,2.8,336.0,,,,313.06219512195116,
145,686.8,1.979250720461095,347.0,,,,221.29591973009065,
146,76.7,0.2367283950617284,324.0,76.7,0.26631944444444444,288.0,26.468111073471846,28.80239251040222
150,13.4,13.4,1.0,,,,1498.226219512195,
151,43.9,0.14584717607973421,301.0,,,,16.30687039137833,
156,9.8,9.8,1.0,,,,1095.7176829268292,
157,79.4,0.5631205673758866,141.0,41.7,41.7,1.0,62.961343193219165,4509.846324549238
161,94.5,0.7325581395348837,129.0,,,,81.90580686330118,
164,,,,5.3,5.3,1.0,,573.1938973647711
166,99.2,0.30712074303405573,323.0,45.7,0.31736111111111115,144.0,34.33853356490221,34.32253814147018
167,3.8,3.8,1.0,,,,424.87012195121946,
169,65.0,0.2090032154340836,311.0,,,,23.368216218335814,
