Item,Total Sales,Return Counts,Base Probability of Return,Updated Probability of Return,CI Lower,CI Upper,Churn Risk
Latte,5159,2852.0,0.5528203140143438,0.5528100775193798,0.5392080410988508,0.5663335234234775,Low
Cappuccino,2783,1347.0,0.4840100610851599,0.48401580459770116,0.4654833832886455,0.5025922936320681,Low
Flat White,1546,705.0,0.45601552393272965,0.45604395604395603,0.4313557547943778,0.4809500654184181,Low
Toasted Roll,1147,257.0,0.22406277244986922,0.22430313588850173,0.2011061490262944,0.24934071849068007,High
Hot Chocolate,772,408.0,0.5284974093264249,0.5284605433376456,0.49319284043420075,0.5634463999897786,Low
Toastie,476,105.0,0.22058823529411764,0.22117400419287211,0.18620331003599178,0.2606092464235029,High
Babychino,337,146.0,0.4332344213649852,0.4334319526627219,0.3815671319081815,0.4867973403119776,Low
Smoothie,327,124.0,0.37920489296636084,0.3795731707317073,0.32866036785846564,0.43328266971158785,Moderate
Milkshake (Syrup),325,36.0,0.11076923076923077,0.11196319018404909,0.08211489547130402,0.15087774785494154,High
Muffin,278,31.0,0.11151079136690648,0.11290322580645161,0.08085655386065212,0.15550242773889567,High
Mocha,268,154.0,0.5746268656716418,0.5743494423791822,0.514511632765304,0.6320858751777101,Low
Croissant,242,48.0,0.19834710743801653,0.19958847736625515,0.15409926911519184,0.2544663399813463,High
Freshly Squeezed Juice,207,75.0,0.36231884057971014,0.3629807692307692,0.30052164135318327,0.43043296372256296,Moderate
Chai Latte,170,61.0,0.3588235294117647,0.35964912280701755,0.2913441312746621,0.4341571397351881,Moderate
"Date and Walnut Balls (GF,VG)",121,28.0,0.23140495867768596,0.2336065573770492,0.16712858921823837,0.3164793338238077,High
Banana Bread,117,1.0,0.008547008547008548,0.012711864406779662,0.0029254525854544616,0.05348042313272902,High
Cookies,107,36.0,0.3364485981308411,0.33796296296296297,0.25533968061484763,0.4318181561005559,Moderate
Ice Latte,102,39.0,0.38235294117647056,0.38349514563106796,0.294992108657864,0.48045544418277586,Moderate
Dirty Chai Latte,94,65.0,0.6914893617021277,0.6894736842105263,0.5900471126940718,0.774021469908614,Low
Thickshake (Syrup),94,35.0,0.3723404255319149,0.3736842105263158,0.2826542853451562,0.47463332625305327,Moderate
White Hot Chocolate,84,22.0,0.2619047619047619,0.2647058823529412,0.18216295789850329,0.3678291669636818,Moderate
Long Black,78,7.0,0.08974358974358974,0.0949367088607595,0.0476574422444559,0.18024287473710948,High
Piccolo,76,39.0,0.5131578947368421,0.512987012987013,0.4027213974795855,0.6220028812676588,Low
Focaccia,75,35.0,0.4666666666666667,0.46710526315789475,0.3585662079997436,0.578849946336092,Low
Deep Fryer,73,11.0,0.1506849315068493,0.1554054054054054,0.08981572721282086,0.2554502379569464,High
Fried Chicken on Ciabatta,72,13.0,0.18055555555555555,0.18493150684931506,0.11206663875990205,0.2897146657787861,High
Iced Coffee with Cream,62,21.0,0.3387096774193548,0.3412698412698413,0.23563008528637544,0.46543216589616443,Moderate
Quiche,52,16.0,0.3076923076923077,0.3113207547169811,0.20216138325790714,0.44644034897336915,Moderate
Macha Latte,48,27.0,0.5625,0.5612244897959183,0.42152666271428285,0.6918485228588508,Low
Iced Chocolate with Cream,46,6.0,0.13043478260869565,0.13829787234042554,0.06636413356571226,0.2659888457792355,High
Build Your Own Breakfast,43,19.0,0.4418604651162791,0.4431818181818182,0.3055036640755696,0.5901795825179789,Moderate
Roti Wrap,42,11.0,0.2619047619047619,0.26744186046511625,0.1573237110450211,0.4165375040755193,Moderate
Burger,37,18.0,0.4864864864864865,0.4868421052631579,0.334781066030681,0.6413784328497175,Moderate
Kids Menu,32,11.0,0.34375,0.3484848484848485,0.20788450116172544,0.5215648064314151,Moderate
