Item,Total Sales,Return Counts,Base Probability of Return,Updated Probability of Return,CI Lower,CI Upper,Churn Risk
Latte,5164,3237.0,0.626839659178931,0.6268151016456922,0.6135338825091038,0.6399077806016056,Low
Cappuccino,3538,2101.0,0.5938383267382702,0.5938118112461147,0.5775352881425122,0.609884831486075,Low
Flat White,1402,711.0,0.507132667617689,0.507127583749109,0.4809736265130615,0.5332425873423983,Low
Toasted Roll,841,115.0,0.1367419738406659,0.13717339667458434,0.11556584428109183,0.16208058459581345,High
Hot Chocolate,811,314.0,0.3871763255240444,0.3873152709359606,0.35439429621098956,0.4212987580686742,Low
Toastie,401,22.0,0.05486284289276808,0.055970149253731345,0.03739906028170164,0.08296816408825575,High
Babychino,385,185.0,0.4805194805194805,0.4805699481865285,0.4311009853424771,0.5304228333632038,Low
Milkshake (Syrup),320,89.0,0.278125,0.278816199376947,0.23253002388588323,0.33035000017911054,Moderate
Muffin,266,9.0,0.03383458646616541,0.035580524344569285,0.019122039637731503,0.06526242499378143,High
Piccolo,248,136.0,0.5483870967741935,0.5481927710843374,0.4859871526314837,0.608928121325763,Low
Mocha,224,119.0,0.53125,0.5311111111111111,0.4657855895584586,0.5953875139387859,Low
Chai Latte,207,56.0,0.27053140096618356,0.27163461538461536,0.21561088552012206,0.335980122939455,Moderate
Smoothie,201,45.0,0.22388059701492538,0.22524752475247525,0.17296042422682306,0.2878400428193973,Moderate
Croissant,149,15.0,0.10067114093959731,0.10333333333333333,0.06402603990204135,0.16258067798977172,High
Long Black,143,30.0,0.2097902097902098,0.21180555555555555,0.15282934307352147,0.28586097962038054,Moderate
Hash Brown,138,0.0,0.0,0.0035971223021582736,0.0003734489336462806,0.03370968151183434,High
Freshly Squeezed Juice,131,65.0,0.4961832061068702,0.4962121212121212,0.4119278930391181,0.5807121806293623,Low
Banana Bread,115,3.0,0.02608695652173913,0.03017241379310345,0.011058714998570715,0.07966082405521006,High
Cookies,106,19.0,0.1792452830188679,0.1822429906542056,0.12031037597982863,0.2664020719332716,Moderate
Ice Latte,94,42.0,0.44680851063829785,0.4473684210526316,0.3508886202993787,0.547981217866542,Low
Thickshake (Syrup),87,50.0,0.5747126436781609,0.5738636363636364,0.46899875743529734,0.6724812773425216,Low
Focaccia,74,14.0,0.1891891891891892,0.19333333333333333,0.11944143277624526,0.2974941560777008,Moderate
White Hot Chocolate,66,16.0,0.24242424242424243,0.2462686567164179,0.1582214287357332,0.36222859942179997,Moderate
"Date and Walnut Balls (GF,VG)",62,30.0,0.4838709677419355,0.48412698412698413,0.36433575643823146,0.6057704686800226,Low
Iced Coffee with Cream,61,33.0,0.5409836065573771,0.5403225806451613,0.41660409121727987,0.659263173605144,Low
Macha Latte,54,12.0,0.2222222222222222,0.22727272727272727,0.13587797471473284,0.3548943162567227,Moderate
Quiche,47,18.0,0.3829787234042553,0.3854166666666667,0.2600113810686095,0.5281378248310213,Low
Deep Fryer,46,11.0,0.2391304347826087,0.24468085106382978,0.14339758069538364,0.3853221694304618,Moderate
Iced Chocolate with Cream,44,11.0,0.25,0.25555555555555554,0.15003698269205223,0.40033108377915455,Moderate
Fried Chicken on Ciabatta,39,12.0,0.3076923076923077,0.3125,0.18950005145400384,0.46912614364608574,Moderate
Dirty Chai Latte,37,16.0,0.43243243243243246,0.4342105263157895,0.28825929259953326,0.5925382018024594,Low
Iced Mocha with Cream,32,13.0,0.40625,0.4090909090909091,0.25757470899182366,0.5800948755640607,Low
Friand (GF),31,6.0,0.1935483870967742,0.203125,0.09831339355941725,0.37340288812684286,Moderate
Build Your Own Breakfast,30,16.0,0.5333333333333333,0.532258064516129,0.3604458199224816,0.6967466257942618,Low
Roti Wrap,29,4.0,0.13793103448275862,0.15,0.062137501251919254,0.31974401487396986,Moderate
Omelette,25,18.0,0.72,0.7115384615384616,0.515634302080028,0.8510902581705504,Low
Burger,24,6.0,0.25,0.26,0.12685022335664578,0.4593804530412624,Moderate
Drinks from fridge,18,1.0,0.05555555555555555,0.07894736842105263,0.017823486821882104,0.28818455577380203,Moderate
French Toast with Streaky Bacon,17,1.0,0.058823529411764705,0.08333333333333333,0.01878863859592072,0.301481078380383,Moderate
Big Breakfast,16,4.0,0.25,0.2647058823529412,0.11086380953803454,0.5096601520020689,Moderate
Brownie,14,0.0,0.0,0.03333333333333333,0.0032984047477234327,0.26433080638431256,Moderate
Coffee Frappe,14,7.0,0.5,0.5,0.2679886791947528,0.7320113208052472,Low
Hot Potatoes,14,8.0,0.5714285714285714,0.5666666666666667,0.3219248314512092,0.7826995669585,Low
Kids Menu,14,3.0,0.21428571428571427,0.23333333333333334,0.08626493762632824,0.49523746873483515,Moderate
12-Hour Slow Cooked Pulled Pork,13,1.0,0.07692307692307693,0.10714285714285714,0.023979363823621595,0.36952922714839326,Moderate
Homemade Sausage Roll,13,3.0,0.23076923076923078,0.25,0.09250040686989308,0.5215505146577527,Moderate
Eggs Benedict,12,0.0,0.0,0.038461538461538464,0.003772971328158539,0.29699695867114223,Moderate
Acai Smoothie bowl (VO),11,1.0,0.09090909090909091,0.125,0.0278171175035055,0.4163128954331051,Moderate
Plain Toast,11,1.0,0.09090909090909091,0.125,0.0278171175035055,0.4163128954331051,Moderate
Ice Chai,9,4.0,0.4444444444444444,0.45,0.19244334919205358,0.7374719261630424,Moderate
(Main) Pasta,9,0.0,0.0,0.05,0.004807836452993136,0.36442964174287035,Moderate
Chicken Parmigiana,8,3.0,0.375,0.3888888888888889,0.1449384601741492,0.7049316774949345,Moderate
Kids Crepes,8,0.0,0.0,0.05555555555555555,0.005289663060014248,0.39419088761632076,Moderate
Koko Fried Chicken 'KFC' Bao,8,2.0,0.25,0.2777777777777778,0.08476508526131354,0.614975190076854,Moderate
Carrot Cake,6,0.0,0.0,0.07142857142857142,0.00660640043863836,0.47083048554970264,Moderate
Fruit Toast,6,0.0,0.0,0.07142857142857142,0.00660640043863836,0.47083048554970264,Moderate
Golden Latte,6,0.0,0.0,0.07142857142857142,0.00660640043863836,0.47083048554970264,Moderate
Hot Chicken Wrap,6,3.0,0.5,0.5,0.18761280689940865,0.8123871931005914,Moderate
Magic,5,0.0,0.0,0.08333333333333333,0.007534690033334627,0.5212082222600662,Moderate
Chicken Risotto,4,0.0,0.0,0.1,0.00874697462193915,0.58317304170126,Moderate
Eggs and Bacon,4,1.0,0.25,0.3,0.0626009864238907,0.733359021737709,Moderate
"Smashed Avo on Toast (V, VGO)",3,0.0,0.0,0.125,0.010369063412348407,0.6607604969244149,Moderate
Orange Almond Cake (VG),3,2.0,0.6666666666666666,0.625,0.18531291794988447,0.9243105619378611,Moderate
Long Macchiato,3,0.0,0.0,0.125,0.010369063412348407,0.6607604969244149,Moderate
(Entree) Pasta,3,2.0,0.6666666666666666,0.625,0.18531291794988447,0.9243105619378611,Moderate
Scone,3,0.0,0.0,0.125,0.010369063412348407,0.6607604969244149,Moderate
Short Macchiato,3,0.0,0.0,0.125,0.010369063412348407,0.6607604969244149,Moderate
Zucchini Corn Fritters with Bacon (GFO),3,2.0,0.6666666666666666,0.625,0.18531291794988447,0.9243105619378611,Moderate
Fried Calamari Rings,2,1.0,0.5,0.5,0.09452865480086611,0.905471345199134,Moderate
Chicken & Mushroom Crepe,2,0.0,0.0,0.16666666666666666,0.01252635724578139,0.7592256741611392,Moderate
Zucchini Spaghetti & Meatballs,2,0.0,0.0,0.16666666666666666,0.01252635724578139,0.7592256741611392,Moderate
Homemade Spinach Ricotta Roll,2,1.0,0.5,0.5,0.09452865480086611,0.905471345199134,Moderate
Espresso,2,1.0,0.5,0.5,0.09452865480086611,0.905471345199134,Moderate
Homemade Mixed Veg Frittata,2,0.0,0.0,0.16666666666666666,0.01252635724578139,0.7592256741611392,Moderate
Eggs Florentine,1,0.0,0.0,0.25,0.014634446057309567,0.8820939082057441,Moderate
Belgian Waffles,1,0.0,0.0,0.25,0.014634446057309567,0.8820939082057441,Moderate
Open Grilled Sandwich,1,0.0,0.0,0.25,0.014634446057309567,0.8820939082057441,Moderate
